Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
1983.0,Joseph H. Delaney,,Brainchild,Analog Science Fact & Fiction,,,,,,,,,,,
1983.0,Kim Stanley Robinson,,To Leave a Mark,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1983.0,John Kessel,,Another Orphan,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1982.0,Poul Anderson,Winner,The Saturn Game,Analog Science Fact & Fiction,,,,,,,,,,,
1982.0,Phyllis Eisenstein,,In the Western Tradition,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1982.0,John Varley,,Blue Champagne,New Voices #4 (Berkley Books),,,,,,,,,,,
1982.0,Kate Wilhelm,,"With Thimbles, With Forks and Hope",Asimov's Science Fiction,,,,,,,,,,,
1982.0,Vernor Vinge,,True Names,Binary Star #5 (Dell Publishing),,,,,,,,,,,
1982.0,David R. Palmer,,Emergence,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,Gordon R. Dickson,Winner,Lost Dorsai,Destinies #2 (Ace Books),,,,,,,,,,,
1981.0,George R. R. Martin/Lisa Tuttle,,One-Wing,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,George R. R. Martin,,Nightflyers,Analog Science Fact & Fiction,,,,,,,,,,,
1981.0,Thomas M. Disch,,The Brave Little Toaster,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1981.0,Harlan Ellison,,All the Lies that Are My Life,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1980.0,Barry B. Longyear,Winner,Enemy Mine,Asimov's Science Fiction,,,,,,,,,,,
1980.0,Orson Scott Card,,Songhouse,Analog Science Fact & Fiction,,,,,,,,,,,
1980.0,Donald Kingsbury,,The Moon Goddess and the Son,Analog Science Fact & Fiction,,,,,,,,,,,
1980.0,Ted Reynolds,,Ker-Plop,Asimov's Science Fiction,,,,,,,,,,,
1980.0,Hilbert Schenck,,The Battle of the Abaco Reefs,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,John Varley,Winner,The Persistence of Vision,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Joan D. Vinge,,Fireship,Analog Science Fact & Fiction,,,,,,,,,,,
1979.0,Christopher Priest,,The Watched,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Brian Aldiss,,Enemies of the System,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1979.0,Gene Wolfe,,Seven American Nights,Orbit #20 (Putnam Publishing Group),,,,,,,,,,,
1978.0,Spider Robinson/Jeanne Robinson,Winner,Stardance,Analog Science Fact & Fiction,,,,,,,,,,,
1978.0,John Varley,,In the Hall of the Martian Kings,The Magazine of Fantasy & Science Fiction,,,,,,,,,,,
1978.0,Vonda N. McIntyre,,Aztecs,2076: The American Tricentennial (Pyramid Books),,,,,,,,,,,
